Barbell Bench Press	杠铃 卧推 推举
Hip Raise	hip 上举
Kettlebell Swing	壶铃 swing
Single Leg Hip Raise	single 腿 hip 上举
External Hip Raise	external hip 上举
Single Arm Dumbbell Swing	single 手臂 哑铃 swing
One Arm Swing	one 手臂 swing
Swiss Ball Hyperextension	swiss 球 hyperextension
Cable Front Raise	绳索 前 上举
Good Morning	good morning
Hanging Leg Raise	hanging 腿 上举
Alternating Dumbbell Lunge	alternating 哑铃 弓步
Alternating Dumbbell Lunge With Reach	alternating 哑铃 弓步 with reach
Barbell Bulgarian Split Squat	杠铃 bulgarian split 深蹲
Barbell Side Lunge	杠铃 侧 弓步
Dumbbell Reverse Lunge	哑铃 reverse 弓步
Low Lunge With Isometric Adduction	low 弓步 with isometric adduction
Lunge	弓步
Lunge With Arm Reach	弓步 with 手臂 reach
Overhead Dumbbell Lunge	过头 哑铃 弓步
Overhead Dumbbell Split Squat	过头 哑铃 split 深蹲
Reverse Sliding Lunge	reverse sliding 弓步
Runners Lunge To Balance	runners 弓步 to balance
Shifting Side Lunge	shifting 侧 弓步
Side To Side Lunge Chops	侧 to 侧 弓步 chops
Walking Lunge	walking 弓步
Cross Body Mountain Climber	cross body mountain climber
Elevator Abs	elevator 腹肌
Mountain Climber	mountain climber
Mountain Climber On Sliding Discs	mountain climber on sliding discs
Mountain Climber With Feet On Bosu Ball	mountain climber with feet on bosu 球
Plank	平板支撑
Plank With Arm Raise	平板支撑 with 手臂 上举
Plank With Oblique Crunch	平板支撑 with oblique 卷腹
Side Plank	侧 平板支撑
Side Plank And Row	侧 平板支撑 and 划船
Side Plank With Feet On Bench	侧 平板支撑 with feet on 卧推
Weighted Plank	负重 平板支撑
45 Degree Plank	45 degree 平板支撑
Alternating Jump Lunge	alternating 跳 弓步
Barbell Jump Squat	杠铃 跳 深蹲
Body Weight Jump Squat	body weight 跳 深蹲
Medicine Ball Slam	药球 球 slam
Side To Side Shuffle Jump	侧 to 侧 shuffle 跳
Chin Up	chin 上
Lat Pulldown	lat pulldown
Pull Up	拉 上
Standing Cable Pullover	standing 绳索 pullover
Wide Grip Lat Pulldown	宽 握 lat pulldown
Push Up	推 上
T Push Up	t 推 上
Alternating Dumbbell Row	alternating 哑铃 划船
Cable Row Standing	绳索 划船 standing
Dumbbell Row	哑铃 划船
Face Pull	face 拉
Inverted Row	inverted 划船
One Arm Bent Over Row	one 手臂 bent over 划船
Renegade Row	renegade 划船
Reverse Grip Barbell Row	reverse 握 杠铃 划船
Single Arm Neutral Grip Dumbbell Row And Rotation	single 手臂 neutral 握 哑铃 划船 and rotation
Jog	jog
Run	跑
Alternating Dumbbell Shoulder Press	alternating 哑铃 肩膀 推举
Barbell Front Squat To Push Press	杠铃 前 深蹲 to 推 推举
Dumbbell Push Press	哑铃 推 推举
Dumbbell Shoulder Press	哑铃 肩膀 推举
Single Arm Dumbbell Shoulder Press	single 手臂 哑铃 肩膀 推举
Single Arm Step Up And Press	single 手臂 步 上 and 推举
Smith Machine Overhead Press	smith 器械 过头 推举
Barbell Upright Row	杠铃 upright 划船
Get Up Sit Up	get 上 sit 上
Sit Up	sit 上
V Up	v 上
Back Squat With Body Bar	背部 深蹲 with body 杆
Barbell Back Squat	杠铃 背部 深蹲
Barbell Front Squat	杠铃 前 深蹲
Barbell Step Up	杠铃 步 上
Crossover Dumbbell Step Up	crossover 哑铃 步 上
Dumbbell Front Squat	哑铃 前 深蹲
Dumbbell Split Squat	哑铃 split 深蹲
Dumbbell Squat	哑铃 深蹲
Dumbbell Step Up	哑铃 步 上
Goblet Squat	goblet 深蹲
Prisoner Squat	prisoner 深蹲
Squat	深蹲
Squat And Side Kick	深蹲 and 侧 kick
Squat Jumps In N Out	深蹲 jumps 内 n 外
Wide Stance Goblet Squat	宽 站姿 goblet 深蹲
Burpee	burpee
Squat Thrusts	深蹲 thrusts
Alternating Dumbbell Lying Triceps Extension	alternating 哑铃 lying triceps 伸展
Cable Lying Triceps Extension	绳索 lying triceps 伸展
Dumbbell Kickback	哑铃 kickback
Dumbbell Lying Triceps Extension	哑铃 lying triceps 伸展
Ez Bar Overhead Triceps Extension	ez 杆 过头 triceps 伸展
Incline Dip	incline 臂屈伸
Reverse Grip Pressdown	reverse 握 pressdown
Rope Pressdown	rope pressdown
Seated Single Arm Overhead Dumbbell Extension	seated single 手臂 过头 哑铃 伸展
Single Leg Dip	single 腿 臂屈伸
Triceps Extension On Floor	triceps 伸展 on floor
Triceps Press	triceps 推举
Triceps Pressdown	triceps pressdown
Opposite Arm And Leg Balance	opposite 手臂 and 腿 balance
Alternating Dumbbell Chest Press	alternating 哑铃 胸部 推举
Alternating Dumbbell Chest Press On Swiss Ball	alternating 哑铃 胸部 推举 on swiss 球
Barbell Board Bench Press	杠铃 board 卧推 推举
Decline Dumbbell Bench Press	decline 哑铃 卧推 推举
Incline Barbell Bench Press	incline 杠铃 卧推 推举
Incline Smith Machine Bench Press	incline smith 器械 卧推 推举
Isometric Barbell Bench Press	isometric 杠铃 卧推 推举
Neutral Grip Dumbbell Bench Press	neutral 握 哑铃 卧推 推举
Neutral Grip Dumbbell Incline Bench Press	neutral 握 哑铃 incline 卧推 推举
One Arm Floor Press	one 手臂 floor 推举
Reverse Grip Barbell Bench Press	reverse 握 杠铃 卧推 推举
Reverse Grip Incline Bench Press	reverse 握 incline 卧推 推举
Single Arm Cable Chest Press	single 手臂 绳索 胸部 推举
Single Arm Dumbbell Bench Press	single 手臂 哑铃 卧推 推举
Smith Machine Bench Press	smith 器械 卧推 推举
Swiss Ball Dumbbell Chest Press	swiss 球 哑铃 胸部 推举
Triple Stop Barbell Bench Press	triple stop 杠铃 卧推 推举
Weighted One Arm Floor Press	负重 one 手臂 floor 推举
Wide Grip Barbell Bench Press	宽 握 杠铃 卧推 推举
Donkey Calf Raise	donkey 小腿 上举
Seated Calf Raise	seated 小腿 上举
Seated Dumbbell Toe Raise	seated 哑铃 toe 上举
Single Leg Bent Knee Calf Raise	single 腿 bent knee 小腿 上举
Single Leg Decline Push Up	single 腿 decline 推 上
Single Leg Donkey Calf Raise	single 腿 donkey 小腿 上举
Single Leg Hip Raise With Knee Hold	single 腿 hip 上举 with knee 保持
Single Leg Standing Calf Raise	single 腿 standing 小腿 上举
Single Leg Standing Dumbbell Calf Raise	single 腿 standing 哑铃 小腿 上举
Standing Barbell Calf Raise	standing 杠铃 小腿 上举
Standing Calf Raise	standing 小腿 上举
Standing Dumbbell Calf Raise	standing 哑铃 小腿 上举
Weighted Donkey Calf Raise	负重 donkey 小腿 上举
Weighted Seated Calf Raise	负重 seated 小腿 上举
Weighted Single Leg Bent Knee Calf Raise	负重 single 腿 bent knee 小腿 上举
Weighted Single Leg Donkey Calf Raise	负重 single 腿 donkey 小腿 上举
Weighted Standing Calf Raise	负重 standing 小腿 上举
3 Way Calf Raise	3 way 小腿 上举
3 Way Single Leg Calf Raise	3 way single 腿 小腿 上举
3 Way Weighted Calf Raise	3 way 负重 小腿 上举
3 Way Weighted Single Leg Calf Raise	3 way 负重 single 腿 小腿 上举
Bob And Weave Circle	bob and weave circle
Double Under	double under
Jump Rope Crossover	跳 rope crossover
Jump Rope Jog	跳 rope jog
Ski Moguls	ski moguls
Split Jacks	split jacks
Triple Under	triple under
Weighted Bob And Weave Circle	负重 bob and weave circle
Weighted Cardio Core Crawl	负重 cardio 核心 crawl
Weighted Double Under	负重 double under
Weighted Jumping Jacks	负重 jumping jacks
Weighted Jump Rope	负重 跳 rope
Weighted Jump Rope Crossover	负重 跳 rope crossover
Weighted Jump Rope Jog	负重 跳 rope jog
Weighted Ski Moguls	负重 ski moguls
Weighted Split Jacks	负重 split jacks
Weighted Squat Jacks	负重 深蹲 jacks
Weighted Triple Under	负重 triple under
Bar Holds	杆 holds
Farmers Walk	farmers 走
Farmers Walk On Toes	farmers 走 on toes
Hex Dumbbell Hold	hex 哑铃 保持
Overhead Carry	过头 carry
Cable Pull Through	绳索 拉 through
Cable Rotational Lift	绳索 rotational lift
Cable Woodchop	绳索 woodchop
Cross Chop To Knee	cross chop to knee
Dumbbell Chop	哑铃 chop
Half Kneeling Rotation	half kneeling rotation
Half Kneeling Rotational Chop	half kneeling rotational chop
Half Kneeling Rotational Reverse Chop	half kneeling rotational reverse chop
Half Kneeling Stability Chop	half kneeling stability chop
Half Kneeling Stability Reverse Chop	half kneeling stability reverse chop
Kneeling Rotational Chop	kneeling rotational chop
Kneeling Rotational Reverse Chop	kneeling rotational reverse chop
Kneeling Stability Chop	kneeling stability chop
Kneeling Woodchopper	kneeling woodchopper
Medicine Ball Wood Chops	药球 球 wood chops
Power Squat Chops	power 深蹲 chops
Standing Rotational Chop	standing rotational chop
Standing Split Rotational Chop	standing split rotational chop
Standing Split Rotational Reverse Chop	standing split rotational reverse chop
Standing Stability Reverse Chop	standing stability reverse chop
Weighted Cross Chop To Knee	负重 cross chop to knee
Weighted Half Kneeling Rotation	负重 half kneeling rotation
Weighted Power Squat Chops	负重 power 深蹲 chops
Abs Jabs	腹肌 jabs
Alternating Plate Reach	alternating 片 reach
Alternating Slide Out	alternating slide 外
Body Bar Oblique Twist	body 杆 oblique twist
Cable Core Press	绳索 核心 推举
Cable Side Bend	绳索 侧 bend
Crescent Circle	crescent circle
Cycling Russian Twist	cycling russian twist
Elevated Feet Russian Twist	elevated feet russian twist
Ghd Back Extensions	ghd 背部 extensions
Half Turkish Get Up	half turkish get 上
Inchworm	inchworm
Kettlebell Windmill	壶铃 windmill
Modified Front Lever	modified 前 lever
Open Knee Tucks	open knee tucks
Overhead Walk	过头 走
Side Abs Leg Lift	侧 腹肌 腿 lift
Side Bend	侧 bend
Swiss Ball Pike	swiss 球 pike
Triangle Hip Press	triangle hip 推举
Trx Suspended Jackknife	trx suspended jackknife
U Boat	u boat
Weighted Abs Jabs	负重 腹肌 jabs
Weighted Alternating Slide Out	负重 alternating slide 外
Weighted Barbell Rollout	负重 杠铃 rollout
Weighted Crescent Circle	负重 crescent circle
Weighted Cycling Russian Twist	负重 cycling russian twist
Weighted Elevated Feet Russian Twist	负重 elevated feet russian twist
Weighted Ghd Back Extensions	负重 ghd 背部 extensions
Weighted Kneeling Ab Wheel	负重 kneeling ab wheel
Weighted Modified Front Lever	负重 modified 前 lever
Weighted Open Knee Tucks	负重 open knee tucks
Weighted Side Abs Leg Lift	负重 侧 腹肌 腿 lift
Weighted Side Bend	负重 侧 bend
Weighted Swiss Ball Jackknife	负重 swiss 球 jackknife
Weighted Swiss Ball Pike	负重 swiss 球 pike
Weighted Swiss Ball Rollout	负重 swiss 球 rollout
Weighted Triangle Hip Press	负重 triangle hip 推举
Weighted Trx Suspended Jackknife	负重 trx suspended jackknife
Weighted U Boat	负重 u boat
Weighted Windmill Switches	负重 windmill switches
Windmill Switches	windmill switches
Circular Arm Crunch	circular 手臂 卷腹
Crossed Arms Crunch	crossed arms 卷腹
Cross Leg Reverse Crunch	cross 腿 reverse 卷腹
Crunch Chop	卷腹 chop
Double Crunch	double 卷腹
Elbow To Knee Crunch	elbow to knee 卷腹
Flutter Kicks	flutter kicks
Foam Roller Reverse Crunch On Bench	foam roller reverse 卷腹 on 卧推
Foam Roller Reverse Crunch With Dumbbell	foam roller reverse 卷腹 with 哑铃
Foam Roller Reverse Crunch With Medicine Ball	foam roller reverse 卷腹 with 药球 球
Frog Press	frog 推举
Hip Crossover	hip crossover
Hollow Rock	hollow rock
Incline Reverse Crunch	incline reverse 卷腹
Kneeling Cross Crunch	kneeling cross 卷腹
Kneeling Oblique Cable Crunch	kneeling oblique 绳索 卷腹
Knees To Elbow	knees to elbow
Leg Extensions	腿 extensions
Leg Levers	腿 levers
Mcgill Curl Up	mcgill 弯举 上
Modified Pilates Roll Up With Ball	modified pilates roll 上 with 球
Pilates Crunch	pilates 卷腹
Pilates Roll Up With Ball	pilates roll 上 with 球
Raised Legs Crunch	raised legs 卷腹
Reverse Curl And Lift	reverse 弯举 and lift
Rotational Lift	rotational lift
Seated Alternating Reverse Crunch	seated alternating reverse 卷腹
Seated Leg U	seated 腿 u
Side To Side Crunch And Weave	侧 to 侧 卷腹 and weave
Single Leg Reverse Crunch	single 腿 reverse 卷腹
Standing Cable Crunch	standing 绳索 卷腹
Standing Side Crunch	standing 侧 卷腹
Step Climb	步 climb
Swiss Ball Reverse Crunch	swiss 球 reverse 卷腹
Swiss Ball Russian Twist	swiss 球 russian twist
Swiss Ball Side Crunch	swiss 球 侧 卷腹
Thoracic Crunches On Foam Roller	thoracic crunches on foam roller
Toes To Bar	toes to 杆
Triceps Crunch	triceps 卷腹
Weighted Bicycle Crunch	负重 bicycle 卷腹
Weighted Crossed Arms Crunch	负重 crossed arms 卷腹
Weighted Cross Leg Reverse Crunch	负重 cross 腿 reverse 卷腹
Weighted Crunch	负重 卷腹
Weighted Crunch Chop	负重 卷腹 chop
Weighted Double Crunch	负重 double 卷腹
Weighted Elbow To Knee Crunch	负重 elbow to knee 卷腹
Weighted Flutter Kicks	负重 flutter kicks
Weighted Foam Roller Reverse Crunch On Bench	负重 foam roller reverse 卷腹 on 卧推
Weighted Hanging Knee Raise Oblique Crunch	负重 hanging knee 上举 oblique 卷腹
Weighted Hip Crossover	负重 hip crossover
Weighted Hollow Rock	负重 hollow rock
Weighted Incline Reverse Crunch	负重 incline reverse 卷腹
Weighted Kneeling Cross Crunch	负重 kneeling cross 卷腹
Weighted Leg Extensions	负重 腿 extensions
Weighted Mcgill Curl Up	负重 mcgill 弯举 上
Weighted Modified Pilates Roll Up With Ball	负重 modified pilates roll 上 with 球
Weighted Pilates Crunch	负重 pilates 卷腹
Weighted Pilates Roll Up With Ball	负重 pilates roll 上 with 球
Weighted Raised Legs Crunch	负重 raised legs 卷腹
Weighted Reverse Crunch	负重 reverse 卷腹
Weighted Reverse Crunch On A Bench	负重 reverse 卷腹 on a 卧推
Weighted Reverse Curl And Lift	负重 reverse 弯举 and lift
Weighted Rotational Lift	负重 rotational lift
Weighted Seated Alternating Reverse Crunch	负重 seated alternating reverse 卷腹
Weighted Seated Leg U	负重 seated 腿 u
Weighted Side To Side Crunch And Weave	负重 侧 to 侧 卷腹 and weave
Weighted Single Leg Reverse Crunch	负重 single 腿 reverse 卷腹
Weighted Skater Crunch Cross	负重 skater 卷腹 cross
Weighted Step Climb	负重 步 climb
Weighted Swiss Ball Crunch	负重 swiss 球 卷腹
Weighted Swiss Ball Reverse Crunch	负重 swiss 球 reverse 卷腹
Weighted Swiss Ball Russian Twist	负重 swiss 球 russian twist
Weighted Swiss Ball Side Crunch	负重 swiss 球 侧 卷腹
Weighted Thoracic Crunches On Foam Roller	负重 thoracic crunches on foam roller
Alternating Dumbbell Biceps Curl On Swiss Ball	alternating 哑铃 biceps 弯举 on swiss 球
Barbell Reverse Wrist Curl	杠铃 reverse wrist 弯举
Barbell Wrist Curl	杠铃 wrist 弯举
Behind The Back Barbell Reverse Wrist Curl	behind the 背部 杠铃 reverse wrist 弯举
Behind The Back One Arm Cable Curl	behind the 背部 one 手臂 绳索 弯举
Cable Biceps Curl	绳索 biceps 弯举
Cable Hammer Curl	绳索 hammer 弯举
Cheating Barbell Biceps Curl	cheating 杠铃 biceps 弯举
Close Grip Ez Bar Biceps Curl	窄 握 ez 杆 biceps 弯举
Cross Body Dumbbell Hammer Curl	cross body 哑铃 hammer 弯举
Decline Hammer Curl	decline hammer 弯举
Dumbbell Biceps Curl With Static Hold	哑铃 biceps 弯举 with static 保持
Dumbbell Reverse Wrist Curl	哑铃 reverse wrist 弯举
Dumbbell Wrist Curl	哑铃 wrist 弯举
Ez Bar Preacher Curl	ez 杆 preacher 弯举
Hammer Curl To Press	hammer 弯举 to 推举
Incline Dumbbell Biceps Curl	incline 哑铃 biceps 弯举
Incline Offset Thumb Dumbbell Curl	incline offset thumb 哑铃 弯举
Kettlebell Biceps Curl	壶铃 biceps 弯举
Lying Concentration Cable Curl	lying concentration 绳索 弯举
One Arm Preacher Curl	one 手臂 preacher 弯举
Plate Pinch Curl	片 pinch 弯举
Preacher Curl With Cable	preacher 弯举 with 绳索
Reverse Ez Bar Curl	reverse ez 杆 弯举
Reverse Grip Barbell Biceps Curl	reverse 握 杠铃 biceps 弯举
Reverse Grip Wrist Curl	reverse 握 wrist 弯举
Seated Dumbbell Biceps Curl	seated 哑铃 biceps 弯举
Seated Reverse Dumbbell Curl	seated reverse 哑铃 弯举
Split Stance Offset Pinky Dumbbell Curl	split 站姿 offset pinky 哑铃 弯举
Standing Ez Bar Biceps Curl	standing ez 杆 biceps 弯举
Standing Zottman Biceps Curl	standing zottman biceps 弯举
Static Curl	static 弯举
Swiss Ball Dumbbell Overhead Triceps Extension	swiss 球 哑铃 过头 triceps 伸展
Swiss Ball Ez Bar Preacher Curl	swiss 球 ez 杆 preacher 弯举
Twisting Standing Dumbbell Biceps Curl	twisting standing 哑铃 biceps 弯举
Wide Grip Ez Bar Biceps Curl	宽 握 ez 杆 biceps 弯举
Dumbbell Single Leg Deadlift To Row	哑铃 single 腿 硬拉 to 划船
Kettlebell Floor To Shelf	壶铃 floor to shelf
One Arm One Leg Deadlift	one 手臂 one 腿 硬拉
Rack Pull	架 拉
Rotational Dumbbell Straight Leg Deadlift	rotational 哑铃 straight 腿 硬拉
Single Arm Deadlift	single 手臂 硬拉
Single Leg Barbell Deadlift	single 腿 杠铃 硬拉
Single Leg Barbell Straight Leg Deadlift	single 腿 杠铃 straight 腿 硬拉
Single Leg Rdl Circuit	single 腿 rdl circuit
Single Leg Romanian Deadlift With Dumbbell	single 腿 romanian 硬拉 with 哑铃
Sumo Deadlift	sumo 硬拉
Sumo Deadlift High Pull	sumo 硬拉 high 拉
Trap Bar Deadlift	trap 杆 硬拉
Wide Grip Barbell Deadlift	宽 握 杠铃 硬拉
Cable Crossover	绳索 crossover
Decline Dumbbell Flye	decline 哑铃 flye
Incline Dumbbell Flye	incline 哑铃 flye
Kettlebell Flye	壶铃 flye
Kneeling Rear Flye	kneeling rear flye
Single Arm Standing Cable Reverse Flye	single 手臂 standing 绳索 reverse flye
Swiss Ball Dumbbell Flye	swiss 球 哑铃 flye
Barbell Hip Thrust With Bench	杠铃 hip thrust with 卧推
Bent Knee Swiss Ball Reverse Hip Raise	bent knee swiss 球 reverse hip 上举
Bridge With Leg Extension	bridge with 腿 伸展
Clam Bridge	clam bridge
Front Kick Tabletop	前 kick tabletop
Hip Extension And Cross	hip 伸展 and cross
Hip Raise With Feet On Swiss Ball	hip 上举 with feet on swiss 球
Hip Raise With Head On Bosu Ball	hip 上举 with head on bosu 球
Hip Raise With Head On Swiss Ball	hip 上举 with head on swiss 球
Hip Raise With Knee Squeeze	hip 上举 with knee squeeze
Incline Rear Leg Extension	incline rear 腿 伸展
Marching Hip Raise	marching hip 上举
Marching Hip Raise With Feet On A Swiss Ball	marching hip 上举 with feet on a swiss 球
Reverse Hip Raise	reverse hip 上举
Single Leg Hip Raise With Foot On Bench	single 腿 hip 上举 with foot on 卧推
Single Leg Hip Raise With Foot On Bosu Ball	single 腿 hip 上举 with foot on bosu 球
Single Leg Hip Raise With Foot On Foam Roller	single 腿 hip 上举 with foot on foam roller
Single Leg Hip Raise With Foot On Medicine Ball	single 腿 hip 上举 with foot on 药球 球
Single Leg Hip Raise With Head On Bosu Ball	single 腿 hip 上举 with head on bosu 球
Single Leg Swiss Ball Hip Raise And Leg Curl	single 腿 swiss 球 hip 上举 and 腿 弯举
Weighted Bent Knee Swiss Ball Reverse Hip Raise	负重 bent knee swiss 球 reverse hip 上举
Weighted Bridge With Leg Extension	负重 bridge with 腿 伸展
Weighted Clam Bridge	负重 clam bridge
Weighted Front Kick Tabletop	负重 前 kick tabletop
Weighted Hip Extension And Cross	负重 hip 伸展 and cross
Weighted Hip Raise	负重 hip 上举
Weighted Hip Raise With Feet On Swiss Ball	负重 hip 上举 with feet on swiss 球
Weighted Hip Raise With Head On Bosu Ball	负重 hip 上举 with head on bosu 球
Weighted Hip Raise With Head On Swiss Ball	负重 hip 上举 with head on swiss 球
Weighted Hip Raise With Knee Squeeze	负重 hip 上举 with knee squeeze
Weighted Incline Rear Leg Extension	负重 incline rear 腿 伸展
Weighted Marching Hip Raise	负重 marching hip 上举
Weighted Marching Hip Raise With Feet On A Swiss Ball	负重 marching hip 上举 with feet on a swiss 球
Weighted Reverse Hip Raise	负重 reverse hip 上举
Weighted Single Leg Hip Raise	负重 single 腿 hip 上举
Weighted Single Leg Hip Raise With Foot On Bench	负重 single 腿 hip 上举 with foot on 卧推
Weighted Single Leg Hip Raise With Foot On Bosu Ball	负重 single 腿 hip 上举 with foot on bosu 球
Weighted Single Leg Hip Raise With Foot On Foam Roller	负重 single 腿 hip 上举 with foot on foam roller
Weighted Single Leg Hip Raise With Foot On Medicine Ball	负重 single 腿 hip 上举 with foot on 药球 球
Weighted Single Leg Hip Raise With Head On Bosu Ball	负重 single 腿 hip 上举 with head on bosu 球
Band Side Lying Leg Raise	弹力带 侧 lying 腿 上举
Dead Bug	dead bug
Fire Hydrant Kicks	fire hydrant kicks
Hip Circles	hip circles
Inner Thigh Lift	inner 大腿 lift
Lateral Walks With Band At Ankles	lateral walks with 弹力带 at ankles
Lying Abduction Stretch	lying abduction stretch
Pretzel Side Kick	pretzel 侧 kick
Prone Hip Internal Rotation	prone hip internal rotation
Quadruped	quadruped
Quadruped Hip Extension	quadruped hip 伸展
Quadruped With Leg Lift	quadruped with 腿 lift
Side Lying Leg Raise	侧 lying 腿 上举
Sliding Hip Adduction	sliding hip adduction
Standing Adduction	standing adduction
Standing Cable Hip Abduction	standing 绳索 hip abduction
Standing Hip Abduction	standing hip abduction
Standing Rear Leg Raise	standing rear 腿 上举
Supine Hip Internal Rotation	supine hip internal rotation
Weighted Dead Bug	负重 dead bug
Weighted External Hip Raise	负重 external hip 上举
Weighted Fire Hydrant Kicks	负重 fire hydrant kicks
Weighted Hip Circles	负重 hip circles
Weighted Inner Thigh Lift	负重 inner 大腿 lift
Weighted Pretzel Side Kick	负重 pretzel 侧 kick
Weighted Prone Hip Internal Rotation	负重 prone hip internal rotation
Weighted Quadruped Hip Extension	负重 quadruped hip 伸展
Weighted Quadruped With Leg Lift	负重 quadruped with 腿 lift
Weighted Side Lying Leg Raise	负重 侧 lying 腿 上举
Weighted Sliding Hip Adduction	负重 sliding hip adduction
Weighted Standing Adduction	负重 standing adduction
Weighted Standing Hip Abduction	负重 standing hip abduction
Weighted Standing Rear Leg Raise	负重 standing rear 腿 上举
Weighted Supine Hip Internal Rotation	负重 supine hip internal rotation
Single Arm Kettlebell Swing	single 手臂 壶铃 swing
Step Out Swing	步 外 swing
Back Extension With Opposite Arm And Leg Reach	背部 伸展 with opposite 手臂 and 腿 reach
Base Rotations	base rotations
Bent Knee Reverse Hyperextension	bent knee reverse hyperextension
Hollow Hold And Roll	hollow 保持 and roll
Kicks	kicks
Kneeling Superman	kneeling superman
Knee Raises	knee raises
Lat Pull Down With Row	lat 拉 下 with 划船
Medicine Ball Deadlift To Reach	药球 球 硬拉 to reach
One Arm One Leg Row	one 手臂 one 腿 划船
One Arm Row With Band	one 手臂 划船 with 弹力带
Overhead Lunge With Medicine Ball	过头 弓步 with 药球 球
Plank Knee Tucks	平板支撑 knee tucks
Side Step	侧 步
Single Leg Back Extension	single 腿 背部 伸展
Spine Extension	spine 伸展
Static Back Extension	static 背部 伸展
Superman From Floor	superman from floor
Superman On Swiss Ball	superman on swiss 球
Swiss Ball Back Extension	swiss 球 背部 伸展
Swiss Ball Opposite Arm And Leg Lift	swiss 球 opposite 手臂 and 腿 lift
Weighted Back Extension With Opposite Arm And Leg Reach	负重 背部 伸展 with opposite 手臂 and 腿 reach
Weighted Base Rotations	负重 base rotations
Weighted Bent Knee Reverse Hyperextension	负重 bent knee reverse hyperextension
Weighted Hollow Hold And Roll	负重 hollow 保持 and roll
Weighted Kicks	负重 kicks
Weighted Kneeling Superman	负重 kneeling superman
Weighted Knee Raises	负重 knee raises
Weighted Plank Knee Tucks	负重 平板支撑 knee tucks
Weighted Side Step	负重 侧 步
Weighted Single Leg Back Extension	负重 single 腿 背部 伸展
Weighted Spine Extension	负重 spine 伸展
Weighted Static Back Extension	负重 static 背部 伸展
Weighted Superman From Floor	负重 superman from floor
Weighted Swiss Ball Back Extension	负重 swiss 球 背部 伸展
Weighted Swiss Ball Hyperextension	负重 swiss 球 hyperextension
Weighted Swiss Ball Opposite Arm And Leg Lift	负重 swiss 球 opposite 手臂 and 腿 lift
Alternating Lateral Raise With Static Hold	alternating lateral 上举 with static 保持
Bar Muscle Up	杆 muscle 上
Bent Over Lateral Raise	bent over lateral 上举
Cable Diagonal Raise	绳索 diagonal 上举
Calorie Row	calorie 划船
Combo Shoulder Raise	combo 肩膀 上举
Dumbbell Diagonal Raise	哑铃 diagonal 上举
Dumbbell V Raise	哑铃 v 上举
Front Raise	前 上举
Leaning Dumbbell Lateral Raise	leaning 哑铃 lateral 上举
Lying Dumbbell Raise	lying 哑铃 上举
Muscle Up	muscle 上
One Arm Cable Lateral Raise	one 手臂 绳索 lateral 上举
Overhand Grip Rear Lateral Raise	overhand 握 rear lateral 上举
Plate Raises	片 raises
Ring Dip	ring 臂屈伸
Ring Muscle Up	ring muscle 上
Rope Climb	rope climb
Scaption	scaption
Seated Lateral Raise	seated lateral 上举
Seated Rear Lateral Raise	seated rear lateral 上举
Side Lying Lateral Raise	侧 lying lateral 上举
Standing Lift	standing lift
Suspended Row	suspended 划船
Underhand Grip Rear Lateral Raise	反手 握 rear lateral 上举
Wall Slide	wall slide
Weighted Ring Dip	负重 ring 臂屈伸
Weighted Ring Muscle Up	负重 ring muscle 上
